Scheme Code,Scheme Name,Net Asset Value,Repurchase Price,Sale Price,Date
Open Ended Schemes ( Income ),,,,,
Escorts Mutual Fund,,,,,
120828,Escorts Income Bond-Direct Plan,48.9749,48.73,48.9749,01-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9896,48.7447,48.9896,02-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.0213,48.7762,49.0213,03-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9941,48.7491,48.9941,06-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9766,48.7317,48.9766,07-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9811,48.7362,48.9811,08-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9665,48.7217,48.9665,09-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9249,48.6803,48.9249,10-Mar-2017
120828,Escorts Income Bond-Direct Plan,48.9317,48.687,48.9317,14-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.0301,48.7849,49.0301,15-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.0656,48.8203,49.0656,16-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.0755,48.8301,49.0755,17-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.1059,48.8604,49.1059,20-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.1899,48.944,49.1899,21-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.1926,48.9466,49.1926,22-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.2986,49.0521,49.2986,23-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.3356,49.0889,49.3356,24-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.3772,49.1303,49.3772,27-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.4137,49.1666,49.4137,28-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.4096,49.1626,49.4096,29-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.4076,49.1606,49.4076,30-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.4814,49.234,49.4814,31-Mar-2017
120828,Escorts Income Bond-Direct Plan,49.4783,49.2309,49.4783,03-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.5027,49.2552,49.5027,05-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.3887,49.1418,49.3887,06-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.3432,49.0965,49.3432,07-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.3225,49.0759,49.3225,10-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.4419,49.1947,49.4419,11-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.4335,49.1863,49.4335,12-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.4494,49.2022,49.4494,13-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.2936,49.0471,49.2936,17-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.3701,49.1232,49.3701,18-Apr-2017
120828,Escorts Income Bond-Direct Plan,49.483,49.2356,49.483,19-Apr-2017
